CITY,LATITUDE,LONGITUDE
anwanden,49.4,10.9167
anzefahr,50.8333,8.8667
anzenkirchen,48.4333,13.0167
anzenreuth,48.65,13.4833
anzing,47.9167,12.2667
apelern,52.3,9.3333
apelnstedt,52.2,10.6333
apen,53.2167,7.8
apenburg,52.7167,11.2
apensen,53.4333,9.6167
apfeldorf,47.9,10.9333
apfeldorfhausen,47.9,10.9333
apfelstadt,50.9,10.8833
apfelstetten,48.3667,9.4833
apfeltrach,48.0167,10.5
apfeltrang,47.8333,10.5833
apfingen,48.15,9.85
apolda,51.0167,11.5
apollensdorf,51.8833,12.55
apostel,52.05,11.2
appel,53.3833,9.75
appeldorn,51.7167,6.3333
appelhagen,53.8167,12.5333
appelhulsen,51.9,7.4167
appeln,53.45,8.9
appelshof,54.1,13.0833
appen,53.65,9.7333
appenberg,50.0667,11.3833
appendorf,48.05,9.8
appenheim,49.93,8.0333
appenhofen,49.1403,8.0828
appenrode,51.5667,10.7333
